nombre,archetype,detected_archetype,health_score,issue_count,review_priority,inconsistencies,review_flags,prefs,tags,explicacion_preview,suggested_archetype,suggest_reason
Pollo Campero,guatemalteca_fast,guatemalteca_fast,100.0,0,105.2,,,"pref_guatemalteca=10
comfort_food=9
family_friendly=9
fast_service=9
quick_meal=9
casual=8
comida_rapida=8
fast_food=8
social_grupo=8
lively=7",guatemalteca | fastservice | americana | comfortfood | familyfriendly | quickmeal | fastfood,"Pollo Campero destacaria por: pref guatemalteca, fast service, comfort food.",,
Starbucks,cafe_brunch,cafe_brunch,100.0,0,103.3,,,"coffee_culture=10
aesthetic=8
brunch=8
casual=8
comfort_food=8
social_grupo=8
lively=6
saludable=6
aventurero=5",coffee | brunch | aesthetic | casual | socialgrupo | comfortfood,"Starbucks encaja con perfiles cafe/brunch: coffee culture, ambiente casual.",,
Burger King,fast_food,fast_food,100.0,0,102.5,,,"comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=9
family_friendly=7
social_grupo=6
lively=5",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"Burger King encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet.",,
McDonald's,fast_food,fast_food,100.0,0,102.5,,,"comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=8
family_friendly=8
social_grupo=7
lively=6",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"McDonald's encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet.",,
Hacienda Real,steakhouse_premium,steakhouse_premium,100.0,0,102.3,,,"business_dining=9
gourmet=9
premium=9
contundente=8
comfort_food=7
slow_food=7
social_grupo=7
elegant=6
lively=6
wine_focus=6
romantic=5",premium | gourmet | businessdining | contundente | slowfood | comfortfood,"Hacienda Real destacaria por: premium, gourmet, business dining.",,
Pecorino,italian_premium,italian_premium,100.0,0,97.8,,,"pref_italiana=10
premium=8
romantic=8
slow_food=8
wine_focus=8
business_dining=7
elegant=7
intimate=7
comfort_food=6
social_grupo=6
aventurero=5
lively=5",italiana | slowfood | winefocus | romantic | premium | businessdining,"Pecorino encaja con perfiles italianos premium: cocina italiana, cenas especiales.",,
Tre Fratelli,italian_premium,italian_premium,100.0,0,97.4,,,"pref_italiana=10
business_dining=8
premium=8
romantic=8
slow_food=8
wine_focus=8
intimate=7
social_grupo=7
comfort_food=6
elegant=6
lively=6
aventurero=5",italiana | slowfood | winefocus | romantic | businessdining | premium,"Tre Fratelli encaja con perfiles italianos premium: cocina italiana, cenas especiales.",,
Tamarindos,premium_fine,premium_fine,100.0,0,95.2,,,"gourmet=10
premium=10
romantic=9
aventurero=8
elegant=8
exclusive=8
intimate=7
trendy=7
wine_focus=7
social_grupo=6
comfort_food=5
lively=5",premium | gourmet | romantic | exclusive | elegant | aventurero,"Tamarindos destacaria por: premium, gourmet, romantic.",,
Kacao,guatemalteca_signature,casual_dining,100.0,0,94.8,,arquetipo asignado (guatemalteca_signature) != detectado (casual_dining),"pref_guatemalteca=10
gourmet=9
comfort_food=8
family_friendly=8
premium=8
slow_food=7
social_grupo=7
aventurero=6
elegant=6
lively=6
romantic=6
trendy=5",guatemalteca | gourmet | premium | comfortfood | familyfriendly | slowfood,"Kacao destacaria por: pref guatemalteca, gourmet, premium.",,
Outback Steakhouse,steakhouse_premium,steakhouse_premium,100.0,0,94.7,,,"premium=9
business_dining=8
casual=8
comfort_food=8
contundente=8
family_friendly=8
gourmet=8
social_grupo=7
elegant=6
lively=6
wine_focus=6",premium | gourmet | businessdining | contundente | familyfriendly | comfortfood,"Outback Steakhouse destacaria por: premium, gourmet, business dining.",,
