nombre,primary_archetype,secondary_categories,cocina_principal,ambiente_label,gastronomic_personality,experience_style,dimension_premium,dimension_social,dimension_comfort,dimension_exploration,dimension_romantic,dimension_nightlife
45 Grados,steakhouse_premium,steakhouse | premium | gourmet | business_dining | elegant,Steakhouse,elegante,Parrilla con tecnicas de coccion precisas,Steakhouse premium para carnivoros exigentes,8,6,5,4,5,3
Ambia,asian_fusion_premium,trendy | social | premium | adventurous | dinner_experience,Peruana,trendy,Nikkei peruano audaz con presentacion de autor,Cena social premium con sabores cruzados y propuesta moderna,8,8,5,9,6,5
Anadi2,fusion_premium,trendy | social | adventurous | casual | foodie,Fusion,trendy,Bistro fusion para compartir,Platos creativos en ambiente moderno,7,8,6,8,4,5
Animal Gastro Bar,nightlife_social,nightlife | trendy | craft_beer | social | foodie,Internacional,nocturno,Gastrobar creativo con cocteleria,Salida nocturna con propuesta gastronomica,6,8,5,7,3,8
Applebee's,american_casual_chain,family_friendly | comfort_food | casual | americana | social,Internacional,familiar,Cadena americana casual para grupos,Comida americana reconfortante en familia,3,7,8,3,3,4
Atempo,premium_fine,gourmet | exclusive | romantic | slow_food | elegant,Fusion,elegante,Fine dining latinoeuropeo de temporada,Experiencia de lujo con menu degustacion y maridaje,10,5,5,7,9,3
Barista,cafe_brunch,coffee_culture | aesthetic | casual | social | trendy,Cafe,trendy,Cafe de especialidad guatemalteco,Espresso de calidad en ambiente urbano,5,7,7,6,3,2
Bento Box,asian_fast_casual,pref_japonesa | quick_meal | casual | comfort_food | fast_food,Japonesa,casual,Bento japones rapido,Comida japonesa accesible para llevar,2,5,6,4,2,2
Bisque,french_bistro,gourmet | elegant | slow_food | romantic | wine_focus,Francesa,elegante,Bistro frances con sopas y pescados clasicos,Cena francesa refinada,8,5,5,5,7,3
Bottega Foresto,italian_premium,trendy | aesthetic | wine_focus | premium | dinner_experience,Italiana,trendy,Bistro italiano contemporaneo con barra de vinos,"Cena italiana moderna, estetica y maridaje",9,7,6,8,7,5
Burger King,fast_food,fast_food | quick_meal | comfort_food | casual | americana,Internacional,casual,Cadena global de hamburguesas,Comida rapida americana sin pretensiones,1,6,8,2,2,2
Cafe Leon,cafe_brunch,coffee_culture | comfort_food | casual | traditional | family_friendly,Cafe,cozy,Cafe tradicional guatemalteco con panes frescos,Desayuno hogareño y cafe de barrio,3,6,9,3,4,2
Caffe Milano,cafe_brunch,coffee_culture | pref_italiana | casual | aesthetic | social,Italiana,elegante,Cafe italiano con pastas ligeras,Espresso y cocina italiana casual,6,6,7,5,5,3
Casa Chapina,guatemalteca_signature,pref_guatemalteca | traditional | family_friendly | comfort_food | cultural,Guatemalteca,familiar,Comida guatemalteca tradicional en Cayala,Sabores chapinos en ambiente acogedor,6,7,8,4,4,2
Casa Escobar,steakhouse_premium,steakhouse | premium | traditional | business_dining | gourmet,Steakhouse,elegante,Tradicion steakhouse guatemalteca,Parrilla clasica con cortes premium,8,6,6,3,5,3
