id,nombre,archetype,detected_archetype,archetype_override,cocina,price_tier,zonas_disponibles,prefs,tags,descripcion,website,health_score,explicacion_preview
cn_45_grados,45 Grados,steakhouse_premium,steakhouse_premium,,Steakhouse,premium,Zona 10,"gourmet=9
premium=9
business_dining=8
contundente=8
elegant=8
social_grupo=6
wine_focus=6
comfort_food=5
lively=5
romantic=5",premium | gourmet | businessdining | contundente | elegant | winefocus,Cortes a la parrilla con tecnicas de coccion precisas.,,100.0,"45 Grados destacaria por: premium, gourmet, business dining."
cn_ambia,Ambia,asian_fusion_premium,casual_dining,,Peruana,premium,Zona 10,"asian_fusion=10
aventurero=9
trendy=9
premium=8
social_grupo=8
elegant=7
gourmet=7
lively=7
slow_food=7
romantic=6
comfort_food=5
nightlife=5",asiatico | aventurero | trendy | premium | socialgrupo | gourmet,Propuesta nikkei peruana con sabores audaces y presentacion moderna.,https://www.ambia.com.gt/,100.0,"Ambia destacaria por: asian fusion, aventurero, trendy."
cn_anadi2,Anadi2,fusion_premium,fusion_premium,,Fusion,premium,Zona 10,"aventurero=9
gourmet=9
trendy=9
aesthetic=8
casual=8
social_grupo=8
lively=7
premium=7
comfort_food=6
nightlife=5",gourmet | trendy | aventurero | aesthetic | socialgrupo | casual,Bistro fusion con platos para compartir y ambiente moderno.,,100.0,"Anadi2 encaja con perfiles exploradores/trendy: fusion, social, aventura."
cn_animal_gastro_bar,Animal Gastro Bar,nightlife_social,nightlife_social,,Internacional,premium,Zona 10,"nightlife=9
social_grupo=9
trendy=9
craft_beer=8
lively=8
aventurero=7
gourmet=7
premium=6
comfort_food=5",nightlife | socialgrupo | trendy | lively | craftbeer | gourmet,Gastrobar con propuesta creativa y cocteleria.,,100.0,"Animal Gastro Bar destacaria por: nightlife, social grupo, trendy."
cn_applebee_s,Applebee's,american_casual_chain,casual_dining,,Internacional,casual,Zona 10,"casual=8
comfort_food=8
family_friendly=8
social_grupo=8
fast_service=7
lively=6",comfortfood | familyfriendly | casual | socialgrupo | fastservice | lively,Comida americana casual para grupos y familias.,,100.0,"Applebee's destacaria por: comfort food, family friendly, casual."
cn_atempo,Atempo,premium_fine,premium_fine,,Fusion,fine,Zona 14,"gourmet=10
premium=10
exclusive=9
romantic=9
elegant=8
aventurero=7
intimate=7
wine_focus=7
trendy=6
comfort_food=5
social_grupo=5",premium | gourmet | exclusive | romantic | elegant | winefocus,Menu de temporada con tecnica moderna latinoeuropea.,https://www.atempo.gt/,100.0,"Atempo destacaria por: premium, gourmet, exclusive."
cn_barista,Barista,cafe_brunch,cafe_brunch,,Cafe,casual,"Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5","coffee_culture=10
trendy=9
aesthetic=8
brunch=8
casual=8
social_grupo=8
comfort_food=7
aventurero=6
lively=6
saludable=6
premium=4",coffee | trendy | brunch | aesthetic | casual | socialgrupo,"Cadena de cafe de especialidad en Guatemala. Disponible en: Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5.",,100.0,"Barista encaja con perfiles cafe/brunch: coffee culture, ambiente casual."
cn_bento_box,Bento Box,asian_fast_casual,casual_dining,,Japonesa,economico,"Zona 10, Zona 16","fast_food=10
asian_fusion=9
casual=9
comida_rapida=9
fast_service=9
pref_japonesa=9
quick_meal=9
comfort_food=8
family_friendly=6
social_grupo=5",fastfood | asiatico | quickmeal | fastservice | casual | china,"Bentos y comida japonesa rapida. Disponible en: Zona 10, Zona 16.",,100.0,"Bento Box encaja con perfiles asiatico rapido/casual: quick meal, asian fusion, sin premium ni italiano."
cn_bisque,Bisque,french_bistro,premium_fine,,Francesa,fine,Zona 10,"gourmet=9
elegant=8
premium=8
romantic=8
wine_focus=8
intimate=7
slow_food=7
aventurero=5
comfort_food=5
social_grupo=5",gourmet | elegant | winefocus | romantic | premium | slowfood,"Cocina francesa con sopas, pescados y postres clasicos.",,100.0,"Bisque destacaria por: gourmet, elegant, wine focus."
cn_bottega_foresto,Bottega Foresto,italian_premium,italian_premium,,Italiana,fine,Zona 10,"pref_italiana=10
aesthetic=9
premium=9
trendy=9
aventurero=8
slow_food=8
wine_focus=8
business_dining=7
elegant=7
romantic=7
social_grupo=7
comfort_food=6
lively=6
nightlife=5",italiana | premium | trendy | aesthetic | slowfood | winefocus,Concepto contemporaneo italiano con barra de vinos.,,100.0,"Bottega Foresto encaja con perfiles italianos premium: cocina italiana, cenas especiales."
cn_burger_king,Burger King,fast_food,fast_food,fast_food,Internacional,economico,"Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5","comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=9
family_friendly=7
social_grupo=6
lively=5",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"Hamburguesas de cadena internacional. Disponible en: Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5.",https://www.burgerking.com.gt/,100.0,"Burger King encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet."
cn_cafe_leon,Cafe Leon,cafe_brunch,cafe_brunch,,Cafe,economico,"Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5","coffee_culture=10
comfort_food=9
brunch=8
casual=8
family_friendly=8
aesthetic=7
slow_food=7
saludable=6
social_grupo=6
lively=5",coffee | comfortfood | brunch | casual | familyfriendly | aesthetic,"Cafe tradicional guatemalteco con panes y desayunos. Disponible en: Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5.",,100.0,"Cafe Leon encaja con perfiles cafe/brunch: coffee culture, ambiente casual."
cn_caffe_milano,Caffe Milano,cafe_brunch,cafe_brunch,,Italiana,premium,Zona 10,"coffee_culture=10
pref_italiana=10
aesthetic=8
brunch=8
casual=8
social_grupo=8
comfort_food=7
lively=6
saludable=6
aventurero=5
romantic=5
premium=4",coffee | italiana | brunch | aesthetic | casual | socialgrupo,Cafe italiano con pastas y ambiente europeo.,,100.0,"Caffe Milano encaja con perfiles cafe/brunch: coffee culture, ambiente casual."
cn_casa_chapina,Casa Chapina,guatemalteca_signature,casual_dining,,Guatemalteca,premium,Zona 16,"pref_guatemalteca=10
comfort_food=8
family_friendly=8
gourmet=8
premium=8
slow_food=7
social_grupo=7
elegant=6
lively=6",guatemalteca | premium | gourmet | comfortfood | familyfriendly | slowfood,Comida guatemalteca tradicional en Cayala.,,100.0,"Casa Chapina destacaria por: pref guatemalteca, premium, gourmet."
cn_casa_escobar,Casa Escobar,steakhouse_premium,steakhouse_premium,,Steakhouse,fine,Zona 10,"gourmet=9
premium=9
business_dining=8
contundente=8
comfort_food=7
slow_food=7
elegant=6
social_grupo=6
wine_focus=6
lively=5
romantic=5",premium | gourmet | businessdining | contundente | slowfood | comfortfood,Carnes a la parrilla y tradicion steakhouse en Guatemala.,,100.0,"Casa Escobar destacaria por: premium, gourmet, business dining."
cn_cerveceria_14,Cerveceria 14,nightlife_social,nightlife_social,,Internacional,casual,Zona 14,"nightlife=9
social_grupo=9
casual=8
craft_beer=8
lively=8
trendy=7
comfort_food=6
aventurero=5",nightlife | socialgrupo | lively | craftbeer | casual | trendy,Cerveceria con ambiente social en Zona 14.,,100.0,"Cerveceria 14 destacaria por: nightlife, social grupo, lively."
